SEQ1	SEQ2	SCORE	dN	dS	OMEGA	N	S	kappa	t	LENGTH
CCFEE5311_001557-T1	CCFEE5311_002110-T1	8182	0.029377	0.226818	0.129519	2835.372834	1019.627166	5.348368	0.244797	1293
CCFEE5311_002542-T1	CCFEE5311_007743-T1	6146	0.039864	0.302760	0.131670	2294.420090	831.579910	2.776036	0.329400	1065
CCFEE5311_003084-T1	CCFEE5311_015407-T1	4351	0.019499	0.244251	0.079833	1532.787743	534.212257	1.534908	0.232757	701
CCFEE5311_006687-T1	CCFEE5311_014596-T1	17216	0.031944	0.179832	0.177632	6039.084237	2366.915763	3.364684	0.220756	2805
CCFEE5311_002151-T1	CCFEE5311_003694-T1	9524	0.048898	0.246404	0.198447	3467.576139	1392.423861	4.904708	0.316455	1621
CCFEE5311_003107-T1	CCFEE5311_003253-T1	2965	0.020394	0.467989	0.043579	1044.704145	311.295855	3.675472	0.369445	456
CCFEE5311_003580-T1	CCFEE5311_007576-T1	4122	0.031941	0.323382	0.098771	1377.933399	554.066601	4.939665	0.346564	644
CCFEE5311_003917-T1	CCFEE5311_014734-T1	5176	0.043751	0.226196	0.193420	1881.322305	704.677695	3.360633	0.280400	865
CCFEE5311_004073-T1	CCFEE5311_007458-T1	6718	0.028677	0.439968	0.065180	2621.404563	789.595437	3.322611	0.371654	1142
CCFEE5311_004129-T1	CCFEE5311_008262-T1	6063	0.032138	0.311069	0.103313	2166.099185	707.900815	4.714874	0.302525	975
CCFEE5311_004415-T1	CCFEE5311_007524-T1	3480	0.006772	0.375872	0.018016	1335.267411	296.732589	3.324184	0.221647	544
CCFEE5311_002301-T1	CCFEE5311_013848-T1	9862	0.019164	0.264982	0.072323	3647.634967	1356.365033	2.407984	0.257384	1672
CCFEE5311_004640-T1	CCFEE5311_013037-T1	8171	0.032161	0.193068	0.166577	2851.523293	1084.476707	3.153022	0.229485	1312
CCFEE5311_003157-T1	CCFEE5311_009203-T1	9660	0.016320	0.246449	0.066219	3379.660750	1150.339250	5.294589	0.224274	1516
CCFEE5311_004666-T1	CCFEE5311_009727-T1	6549	0.030169	0.410221	0.073543	2503.113913	769.886087	2.007979	0.358698	1165
CCFEE5311_002245-T1	CCFEE5311_009611-T1	11323	0.026945	0.309032	0.087192	4009.042452	1396.957548	3.320541	0.299517	1805
CCFEE5311_004671-T1	CCFEE5311_009732-T1	1450	0.033355	0.292750	0.113937	553.596815	232.403185	5.293283	0.330158	360
CCFEE5311_003959-T1	CCFEE5311_015903-T1	8293	0.013420	0.268498	0.049982	2932.436402	895.563598	2.039042	0.219287	1281
CCFEE5311_004773-T1	CCFEE5311_010283-T1	5832	0.002607	0.303273	0.008596	2113.369433	511.630567	4.122687	0.183627	875
CCFEE5311_004807-T1	CCFEE5311_016581-T1	1797	0.017853	0.255695	0.069820	708.587196	167.412804	1.373883	0.189921	317
CCFEE5311_004274-T1	CCFEE5311_006139-T1	10969	0.018823	0.181825	0.103524	3876.588868	1538.411132	4.357627	0.195397	1847
CCFEE5311_003464-T1	CCFEE5311_006396-T1	20157	0.025093	0.260034	0.096500	7129.558568	2554.441432	3.078004	0.261197	3231
CCFEE5311_004844-T1	CCFEE5311_011162-T1	6319	0.048027	0.208092	0.230798	2334.695775	869.304225	3.101341	0.274367	1084
CCFEE5311_005202-T1	CCFEE5311_006442-T1	1783	0.006663	0.227329	0.029310	753.874153	263.125847	2.550810	0.191266	526
CCFEE5311_005759-T1	CCFEE5311_011468-T1	1536	0.032222	0.188598	0.170850	539.519146	189.480854	3.062026	0.218601	243
CCFEE5311_005389-T1	CCFEE5311_016359-T1	8943	0.021272	0.142106	0.149689	2983.893170	1195.106830	4.389253	0.167484	1399
CCFEE5311_003864-T1	CCFEE5311_005039-T1	10752	0.017125	0.356388	0.048051	4222.193157	1474.806843	4.064003	0.314854	2500
CCFEE5311_006251-T1	CCFEE5311_009576-T1	6668	0.043312	0.313142	0.138315	2338.816676	910.183324	3.072886	0.356710	1099
CCFEE5311_006698-T1	CCFEE5311_014609-T1	3215	0.021254	0.359613	0.059101	1260.643945	308.356055	1.568487	0.263254	559
CCFEE5311_007250-T1	CCFEE5311_013609-T1	3517	0.023875	0.591719	0.040349	1241.585699	279.414301	1.758430	0.384572	509
CCFEE5311_007627-T1	CCFEE5311_011979-T1	1028	0.004656	0.401593	0.011595	430.916498	97.083502	2.510607	0.232923	228
CCFEE5311_007759-T1	CCFEE5311_008369-T1	7037	0.043514	0.323443	0.134534	2657.314029	786.685971	2.470450	0.322368	1157
CCFEE5311_006987-T1	CCFEE5311_011690-T1	8142	0.017306	0.404344	0.042800	3039.697182	821.302818	2.239189	0.298907	1295
CCFEE5311_008509-T1	CCFEE5311_015164-T1	6216	0.006814	0.242071	0.028150	1991.363654	738.636346	7.490839	0.211398	910
CCFEE5311_008512-T1	CCFEE5311_015161-T1	6511	0.007187	0.321330	0.022367	2237.690601	708.309399	4.156088	0.248151	1002
CCFEE5311_008694-T1	CCFEE5311_016320-T1	1403	0.144097	1.318620	0.109279	659.031061	162.968939	2.661082	1.130870	277
CCFEE5311_009305-T1	CCFEE5311_014287-T1	7995	0.026807	0.203410	0.131789	2830.575767	1051.424233	2.806416	0.223918	1294
CCFEE5311_009350-T1	CCFEE5311_012130-T1	2053	0.064274	0.376541	0.170696	748.163950	292.836050	3.962211	0.456347	347
CCFEE5311_009090-T1	CCFEE5311_017211-T1	6716	0.008603	0.166399	0.051698	2221.919362	784.080638	3.251208	0.149286	1004
CCFEE5311_006982-T1	CCFEE5311_011686-T1	11607	0.039953	0.242316	0.164879	4272.267305	1667.732695	4.211327	0.290307	2241
CCFEE5311_009558-T1	CCFEE5311_012211-T1	6868	0.052631	0.313028	0.168136	2636.131950	816.868050	2.819763	0.342698	1159
CCFEE5311_010046-T1	CCFEE5311_016014-T1	5334	0.023342	0.166610	0.140100	1958.597424	615.402576	2.127821	0.172786	877
CCFEE5311_009585-T1	CCFEE5311_009853-T1	7305	0.044592	0.330100	0.135086	2672.439663	978.560337	2.944618	0.363346	1219
CCFEE5311_006645-T1	CCFEE5311_011127-T1	14402	0.032133	0.282343	0.113810	5280.424240	1742.575760	2.404578	0.282649	2408
CCFEE5311_011121-T1	CCFEE5311_012830-T1	5752	0.061826	0.374190	0.165225	2140.827467	733.172533	3.062818	0.424534	1011
CCFEE5311_011705-T1	CCFEE5311_015710-T1	3079	0.003598	0.195056	0.018446	1114.948303	298.051697	5.166194	0.131950	490
CCFEE5311_011308-T1	CCFEE5311_015298-T1	8756	0.053378	0.190742	0.279846	3302.443281	1191.556719	2.514337	0.269399	1513
CCFEE5311_011724-T1	CCFEE5311_015731-T1	7022	0.058507	0.279238	0.209523	2548.849746	991.150254	4.362994	0.360926	1180
CCFEE5311_012337-T1	CCFEE5311_017456-T1	7625	0.012278	0.399595	0.030727	2672.203127	819.796873	4.556718	0.309619	1164
CCFEE5311_012650-T1	CCFEE5311_014455-T1	6124	0.031180	0.272192	0.114550	2210.573294	756.426706	2.388755	0.277874	995
CCFEE5311_012781-T1	CCFEE5311_014988-T1	4170	0.031258	0.224367	0.139316	1520.446993	531.553007	2.645140	0.243844	692
CCFEE5311_010031-T1	CCFEE5311_015999-T1	9318	0.043078	0.246475	0.174776	3458.777937	1179.222063	2.403174	0.284376	1569
CCFEE5311_013104-T1	CCFEE5311_013677-T1	7188	0.030937	0.151605	0.204066	2477.259235	972.740765	3.792321	0.194880	1152
CCFEE5311_013650-T1	CCFEE5311_014544-T1	6222	0.011127	0.258196	0.043094	2354.436817	663.563183	2.328019	0.196349	1182
CCFEE5311_008218-T1	CCFEE5311_016999-T1	13380	0.005653	0.361151	0.015653	4972.665998	1231.334002	3.792236	0.228630	2118
CCFEE5311_015706-T1	CCFEE5311_016987-T1	8597	0.025142	0.275631	0.091216	3209.886183	1047.113817	2.525629	0.260268	1433
CCFEE5311_000420-T1	CCFEE5311_004216-T1	4461	0.043509	0.192168	0.226414	1669.944654	574.055346	3.364806	0.244617	774
CCFEE5311_000537-T1	CCFEE5311_008749-T1	5104	0.046001	0.298942	0.153878	1996.214856	592.785144	3.594984	0.311744	868
CCFEE5311_000562-T1	CCFEE5311_010557-T1	5301	0.027927	0.377811	0.073919	1946.109576	546.890424	2.731765	0.314045	831
CCFEE5311_000601-T1	CCFEE5311_014811-T1	1962	0.034935	0.482395	0.072420	737.625354	213.374646	2.811694	0.405992	334
CCFEE5311_000617-T1	CCFEE5311_014828-T1	6519	0.019549	0.190288	0.102735	2333.518717	804.481283	3.458704	0.189963	1046
CCFEE5311_000609-T1	CCFEE5311_014820-T1	8118	0.016074	0.270742	0.059369	3114.000891	800.999109	2.543579	0.204534	1305
CCFEE5311_000616-T1	CCFEE5311_014827-T1	6059	0.043721	0.156178	0.279945	2112.546561	854.453439	3.868902	0.228322	998
CCFEE5311_000651-T1	CCFEE5311_010091-T1	5697	0.017219	0.233026	0.073895	1997.982823	774.017177	2.265553	0.232435	1078
CCFEE5311_000721-T1	CCFEE5311_016632-T1	4010	0.071108	0.323810	0.219597	1582.062885	619.937115	3.604265	0.426756	783
CCFEE5311_000731-T1	CCFEE5311_007308-T1	5657	0.009797	0.152209	0.064363	2003.970906	546.029094	2.321967	0.120874	850
CCFEE5311_000604-T1	CCFEE5311_014814-T1	10726	0.038109	0.217984	0.174826	3855.703413	1454.296587	4.227853	0.262119	1801
CCFEE5311_000778-T1	CCFEE5311_013744-T1	1294	0.119075	0.319844	0.372290	603.644253	191.355747	2.516800	0.502199	277
CCFEE5311_000791-T1	CCFEE5311_012537-T1	7176	0.015027	0.313138	0.047989	2823.924631	719.075369	2.465673	0.226592	1181
CCFEE5311_000807-T1	CCFEE5311_012521-T1	5573	0.028215	0.306835	0.091955	2170.919979	505.080021	2.369719	0.242409	987
CCFEE5311_000856-T1	CCFEE5311_006890-T1	6463	0.021684	0.267202	0.081153	2224.031925	799.968075	4.533473	0.259901	1011
CCFEE5311_004786-T1	CCFEE5311_016562-T1	20653	0.012298	0.235510	0.052218	8024.311971	1758.688029	3.672158	0.157274	3264
CCFEE5311_000880-T1	CCFEE5311_006955-T1	5043	0.031811	0.296352	0.107343	1767.825131	617.174869	3.268016	0.300803	798
CCFEE5311_000941-T1	CCFEE5311_017143-T1	5864	0.059409	0.238175	0.249435	2057.978434	894.021566	4.595919	0.340646	992
CCFEE5311_000741-T1	CCFEE5311_013710-T1	11103	0.014741	0.313868	0.046966	3907.065442	1318.934558	3.563791	0.270703	1742
CCFEE5311_000970-T1	CCFEE5311_008188-T1	7447	0.090750	0.301236	0.301259	3159.062493	1181.937507	4.134087	0.444180	1531
CCFEE5311_000980-T1	CCFEE5311_008177-T1	3913	0.076882	0.302301	0.254323	1503.704058	503.295942	3.760899	0.400231	674
CCFEE5311_001015-T1	CCFEE5311_008491-T1	4980	0.010623	0.287476	0.036952	1754.033306	507.966694	2.724411	0.218383	770
CCFEE5311_001064-T1	CCFEE5311_008449-T1	1698	0.080214	0.414232	0.193646	674.405775	264.594225	3.978242	0.523004	318
CCFEE5311_001050-T1	CCFEE5311_008031-T1	8287	0.013901	0.320392	0.043387	2870.473273	873.526727	4.523699	0.256229	1249
CCFEE5311_001126-T1	CCFEE5311_010813-T1	4647	0.034436	0.167819	0.205198	1641.515224	620.484776	3.552832	0.213073	754
CCFEE5311_001177-T1	CCFEE5311_001450-T1	-256	0.596054	99.000000	0.006021	185.224555	27.775445	0.588148	40.284126	236
CCFEE5311_001108-T1	CCFEE5311_007894-T1	9425	0.029102	0.200407	0.145212	3184.917574	1348.082426	4.390113	0.240139	1512
CCFEE5311_001187-T1	CCFEE5311_016439-T1	3172	0.026079	0.299956	0.086943	1093.867972	403.132028	4.146415	0.299497	499
CCFEE5311_001188-T1	CCFEE5311_016440-T1	4035	0.011821	0.247128	0.047834	1449.969702	455.030298	2.976470	0.204080	635
CCFEE5311_001208-T1	CCFEE5311_005840-T1	5045	0.081900	0.351523	0.232987	1937.127036	795.872964	4.317366	0.481251	958
CCFEE5311_001211-T1	CCFEE5311_005843-T1	2953	0.008912	0.218387	0.040807	1072.473821	310.526179	1.559712	0.167836	461
CCFEE5311_001224-T1	CCFEE5311_005857-T1	4069	0.089286	0.287585	0.310470	1706.274333	561.725667	2.375070	0.415199	792
CCFEE5311_001250-T1	CCFEE5311_015784-T1	1921	0.055802	0.348930	0.159923	772.412886	196.587114	2.758871	0.345811	330
CCFEE5311_001252-T1	CCFEE5311_015782-T1	5425	0.014646	0.382985	0.038242	1999.616772	463.383228	1.725419	0.251834	826
CCFEE5311_001255-T1	CCFEE5311_015779-T1	5142	0.002803	0.361670	0.007751	1787.380742	534.619258	4.457549	0.256287	774
CCFEE5311_001269-T1	CCFEE5311_015763-T1	5124	0.021206	0.212778	0.099664	1866.570208	548.429792	3.000561	0.194133	805
CCFEE5311_001055-T1	CCFEE5311_008026-T1	12696	0.017012	0.279768	0.060806	4402.088477	1609.911523	3.018801	0.262120	2036
CCFEE5311_001303-T1	CCFEE5311_001691-T1	2853	0.107376	0.244817	0.438599	1171.770049	355.229951	2.587258	0.418049	509
CCFEE5311_001305-T1	CCFEE5311_001694-T1	7132	0.032893	0.205041	0.160421	2441.826239	918.173761	3.153861	0.239805	1124
CCFEE5311_001307-T1	CCFEE5311_001696-T1	4494	0.006136	0.406313	0.015101	1636.592124	391.407876	1.090697	0.250112	676
CCFEE5311_001368-T1	CCFEE5311_006115-T1	2984	0.011071	0.251785	0.043970	1091.950302	333.049698	1.400883	0.201991	475
CCFEE5311_001378-T1	CCFEE5311_006106-T1	6834	0.017285	0.479392	0.036055	2429.651573	702.348427	3.222264	0.362735	1074
CCFEE5311_001302-T1	CCFEE5311_001690-T1	8940	0.023383	0.286800	0.081529	3151.719210	1141.280790	3.720568	0.280233	1431
CCFEE5311_001439-T1	CCFEE5311_015656-T1	3218	0.036304	0.245315	0.147988	1160.750286	432.249714	5.577865	0.279053	532
CCFEE5311_001454-T1	CCFEE5311_013387-T1	4379	0.028721	0.097351	0.295029	1609.628332	595.371668	1.599320	0.141757	889
CCFEE5311_001482-T1	CCFEE5311_013414-T1	3112	0.046167	0.327714	0.140877	1136.590371	390.409629	5.271057	0.354452	510
CCFEE5311_001648-T1	CCFEE5311_016811-T1	2027	0.025358	0.252968	0.100240	763.870866	202.129134	5.642375	0.218951	323
CCFEE5311_001672-T1	CCFEE5311_009170-T1	4712	0.055051	0.441770	0.124615	1878.036054	494.963946	1.504100	0.407141	823
CCFEE5311_001686-T1	CCFEE5311_009184-T1	2803	0.046850	0.170178	0.275302	1033.736148	457.263852	3.274132	0.254019	577
CCFEE5311_001825-T1	CCFEE5311_013064-T1	1828	0.014195	0.288900	0.049133	711.204692	272.795308	2.277655	0.271054	395
CCFEE5311_001826-T1	CCFEE5311_013065-T1	3861	0.015651	0.433154	0.036134	1431.548597	293.451403	0.832631	0.260027	586
CCFEE5311_001815-T1	CCFEE5311_013052-T1	4668	0.073021	0.362152	0.201630	1954.015612	571.984388	2.946731	0.415473	860
CCFEE5311_001891-T1	CCFEE5311_015204-T1	6404	0.036381	0.153604	0.236847	2213.013688	864.986312	3.826004	0.207968	1037
CCFEE5311_002034-T1	CCFEE5311_002210-T1	5589	0.031935	0.287268	0.111170	2235.689533	734.310467	2.869607	0.285194	1156
CCFEE5311_001751-T1	CCFEE5311_005113-T1	5115	0.113893	0.247810	0.459597	2027.960439	849.039561	2.910797	0.460240	962
CCFEE5311_002139-T1	CCFEE5311_003706-T1	4229	0.020825	0.171583	0.121370	1437.707703	497.292297	4.492354	0.178709	658
CCFEE5311_001870-T1	CCFEE5311_015222-T1	5191	0.035535	0.325361	0.109217	1847.931382	663.068618	4.428419	0.336204	839
CCFEE5311_002279-T1	CCFEE5311_013827-T1	3808	0.009827	0.360568	0.027254	1331.770128	363.229872	2.160679	0.254967	567
CCFEE5311_002292-T1	CCFEE5311_013840-T1	3433	0.022035	0.246809	0.089279	1261.262318	391.737682	3.785734	0.225910	551
CCFEE5311_002298-T1	CCFEE5311_013845-T1	7114	0.024123	0.367696	0.065605	2675.170981	735.829019	2.041744	0.294718	1148
CCFEE5311_002353-T1	CCFEE5311_003197-T1	2597	0.032966	0.375428	0.087810	1039.291116	241.708884	2.105190	0.292754	441
CCFEE5311_002397-T1	CCFEE5311_015850-T1	5281	0.020630	0.321872	0.064095	1941.331527	524.668473	2.245071	0.254168	826
CCFEE5311_002014-T1	CCFEE5311_002191-T1	8074	0.042725	0.104042	0.410652	2990.276932	1002.723068	3.226415	0.174370	1398
CCFEE5311_002434-T1	CCFEE5311_011488-T1	6216	0.023053	0.295722	0.077956	2555.682936	681.317064	2.599908	0.241332	1420
CCFEE5311_001918-T1	CCFEE5311_012778-T1	10974	0.019279	0.337577	0.057108	3883.451802	1339.548198	4.846222	0.302739	1752
CCFEE5311_002477-T1	CCFEE5311_008278-T1	4324	0.023513	0.359393	0.065423	1579.085583	565.914417	4.426318	0.336383	716
CCFEE5311_002504-T1	CCFEE5311_008305-T1	7716	0.016145	0.359940	0.044855	2724.003029	839.996971	2.994502	0.291521	1188
CCFEE5311_002379-T1	CCFEE5311_009642-T1	8883	0.072197	0.263250	0.274255	3501.610236	1421.389764	2.942638	0.382076	1905
CCFEE5311_002547-T1	CCFEE5311_005535-T1	9544	0.011992	0.483917	0.024781	3572.699543	918.300457	1.637671	0.325467	1523
CCFEE5311_002555-T1	CCFEE5311_005527-T1	3372	0.010323	0.309906	0.033311	1268.008966	279.991034	1.561810	0.193529	516
CCFEE5311_002557-T1	CCFEE5311_005525-T1	3956	0.129197	0.565626	0.228414	1792.880685	604.119315	2.426378	0.717572	887
CCFEE5311_002609-T1	CCFEE5311_009161-T1	1139	0.041652	0.181506	0.229482	567.954889	158.045111	2.344943	0.216292	435
CCFEE5311_002620-T1	CCFEE5311_009195-T1	1638	0.017042	0.467414	0.036461	692.419797	150.580203	1.752712	0.292469	358
CCFEE5311_002780-T1	CCFEE5311_011737-T1	6582	0.016082	0.164780	0.097596	2263.450761	820.549239	2.711188	0.166936	1030
CCFEE5311_002782-T1	CCFEE5311_011735-T1	2867	0.021777	0.360284	0.060444	1018.168323	376.831677	2.652109	0.339654	541
CCFEE5311_002783-T1	CCFEE5311_011734-T1	5719	0.019509	0.263733	0.073973	1896.091404	686.908596	2.321864	0.253370	864
CCFEE5311_002785-T1	CCFEE5311_011732-T1	3467	0.007952	0.294922	0.026963	1264.308670	355.691330	2.691099	0.212879	540
CCFEE5311_002592-T1	CCFEE5311_008621-T1	9021	0.040083	0.192397	0.208334	3001.511284	1258.488716	4.718720	0.255238	1447
CCFEE5311_002834-T1	CCFEE5311_009487-T1	6180	0.023762	0.309939	0.076668	2309.127070	744.872930	2.154521	0.280683	1022
CCFEE5311_002907-T1	CCFEE5311_007215-T1	1182	0.007212	0.314999	0.022895	418.013302	124.986698	2.979589	0.234173	181
CCFEE5311_002988-T1	CCFEE5311_014894-T1	5551	0.021058	0.282857	0.074449	2071.398683	505.601317	2.165262	0.217268	862
CCFEE5311_003014-T1	CCFEE5311_017277-T1	3299	0.000000	0.383863	0.000010	1219.898262	370.101738	8.626950	0.268053	530
CCFEE5311_003056-T1	CCFEE5311_007443-T1	2720	0.042438	0.311795	0.136109	1042.483100	268.516900	2.101564	0.292822	439
CCFEE5311_002311-T1	CCFEE5311_013858-T1	15175	0.010708	0.374770	0.028572	5553.199321	1691.800679	4.624358	0.287163	2417
CCFEE5311_003111-T1	CCFEE5311_003249-T1	7957	0.027778	0.170215	0.163192	3003.507719	833.492281	3.141670	0.176157	1279
CCFEE5311_003120-T1	CCFEE5311_003240-T1	4521	0.013510	0.198851	0.067943	1494.845506	596.154494	3.543278	0.199056	714
CCFEE5311_003125-T1	CCFEE5311_003235-T1	4229	0.012943	0.365750	0.035387	1637.691304	348.308696	3.920088	0.224456	688
CCFEE5311_003140-T1	CCFEE5311_005828-T1	3841	0.029875	0.329677	0.090619	1248.997434	515.002566	5.501404	0.352208	600
CCFEE5311_003161-T1	CCFEE5311_009207-T1	6509	0.027448	0.132577	0.207035	2249.057678	840.942322	4.720012	0.168176	1034
CCFEE5311_003167-T1	CCFEE5311_009211-T1	3345	0.015648	0.349822	0.044730	1227.274684	308.725316	1.823965	0.248443	512
CCFEE5311_002667-T1	CCFEE5311_016129-T1	32598	0.071908	0.202490	0.355119	11974.381740	5095.618260	3.208517	0.332666	5816
CCFEE5311_003093-T1	CCFEE5311_010383-T1	10258	0.012383	0.395424	0.031315	3625.115036	1177.884964	3.982330	0.318958	1601
CCFEE5311_003295-T1	CCFEE5311_005185-T1	2925	0.025655	0.414268	0.061929	1090.542704	277.457296	2.059163	0.313421	456
CCFEE5311_003346-T1	CCFEE5311_007377-T1	7093	0.028784	0.317054	0.090785	2464.506950	937.493050	3.410301	0.324668	1212
CCFEE5311_003461-T1	CCFEE5311_006399-T1	5208	0.020421	0.179892	0.113520	1739.387935	657.612065	4.105334	0.192516	799
